,ref_pm25,cal_pm25
2018-11-03 18:00:00,11.255555555555555,7.448412656784058
2018-11-04 03:00:00,11.222222222222221,9.690586460961235
2018-11-04 12:00:00,7.944444444444445,9.762345645162794
2018-11-04 21:00:00,8.544444444444444,7.244598702148155
2018-11-05 06:00:00,6.211111111111111,3.221450594012384
2018-11-05 15:00:00,4.455555555555556,5.706760936188248
2018-11-06 18:00:00,6.088888888888889,9.110119074583054
2018-11-07 12:00:00,7.5,13.482098401923926
2018-11-13 03:00:00,14.244444444444444,24.14285850524902
2018-11-16 03:00:00,13.733333333333333,12.42857074737549
2018-11-26 15:00:00,9.399999999999999,11.14285755157471
2018-11-27 09:00:00,11.522222222222222,16.714285850524902
2018-11-27 18:00:00,10.622222222222222,14.53968260023329
2018-11-28 03:00:00,13.8,15.88888846503364
2018-11-28 12:00:00,8.266666666666667,16.11111068725586
2018-11-28 21:00:00,7.377777777777778,10.047619024912516
2018-11-29 06:00:00,9.833333333333334,13.476190090179443
2018-11-29 15:00:00,8.822222222222223,14.555555237664116
2018-11-30 00:00:00,8.088888888888889,11.079365094502768
2018-11-30 09:00:00,10.244444444444445,13.444444497426352
2018-11-30 18:00:00,9.644444444444444,14.07936509450277
2018-12-01 03:00:00,10.022222222222222,9.460317558712429
2018-12-01 12:00:00,12.055555555555555,12.803571224212646
2018-12-01 21:00:00,11.833333333333334,14.825396961636013
2018-12-02 06:00:00,14.444444444444445,16.999999894036186
2018-12-02 15:00:00,11.255555555555555,12.920634693569607
2018-12-03 00:00:00,15.122222222222222,15.253967920939127
2018-12-03 09:00:00,14.044444444444444,21.142856385972763
2018-12-03 18:00:00,14.655555555555557,16.063492245144314
2018-12-04 03:00:00,19.555555555555557,22.333332697550457
2018-12-04 12:00:00,14.022222222222222,21.22222179836697
2018-12-04 21:00:00,13.11111111111111,17.28571425543891
2018-12-05 06:00:00,16.200000000000003,19.825396643744575
2018-12-05 15:00:00,14.133333333333333,14.507935947842068
2018-12-06 00:00:00,17.244444444444444,19.222222963968914
2018-12-06 09:00:00,13.78888888888889,19.587301042344833
2018-12-06 18:00:00,13.8,15.920634905497232
2018-12-07 03:00:00,16.344444444444445,17.380952305263943
2018-12-07 12:00:00,14.266666666666667,18.666666348775227
2018-12-07 21:00:00,24.533333333333335,23.634921391805012
2018-12-08 06:00:00,20.688888888888886,34.158730612860786
2018-12-08 15:00:00,17.577777777777776,18.666666772630478
2018-12-09 00:00:00,20.833333333333332,26.650792651706272
2018-12-09 09:00:00,15.644444444444446,25.06349118550618
2018-12-09 18:00:00,17.677777777777777,19.634920120239258
2018-12-10 03:00:00,22.177777777777777,27.015872743394638
2018-12-10 12:00:00,18.477777777777778,27.65079455905491
2018-12-10 21:00:00,22.933333333333334,27.06349203321669
2018-12-11 06:00:00,23.5,31.88888825310601
2018-12-11 15:00:00,15.922222222222224,21.571428510877823
2018-12-12 00:00:00,23.244444444444444,24.571427875094944
2018-12-12 09:00:00,18.08888888888889,32.46031739976671
2018-12-12 18:00:00,17.433333333333334,21.015873803032765
2018-12-13 03:00:00,20.544444444444444,24.603174633449978
2018-12-13 12:00:00,11.544444444444444,22.65079339345296
2018-12-13 21:00:00,13.822222222222223,12.460317505730522
2018-12-14 06:00:00,16.244444444444444,20.063491821289062
2018-12-14 15:00:00,14.177777777777777,15.92857074737549
2019-04-11 09:00:00,20.244444444444444,23.5
2019-04-11 18:00:00,18.87777777777778,27.55555576748318
2019-04-12 03:00:00,24.311111111111114,28.083333492279053
2019-04-12 12:00:00,23.022222222222222,33.18518532647027
2019-04-12 21:00:00,23.155555555555555,36.398148430718315
2019-04-13 06:00:00,26.677777777777777,32.41666709052192
2019-04-13 15:00:00,17.37777777777778,36.01041555404663
2019-04-14 00:00:00,19.91111111111111,18.194445080227325
2019-04-14 09:00:00,21.255555555555556,29.38888931274414
2019-04-14 18:00:00,16.333333333333332,28.41666603088379
2019-04-15 03:00:00,15.511111111111111,23.08333206176757
2019-04-15 21:00:00,18.72222222222222,26.416666507720947
2019-04-16 06:00:00,18.27777777777778,23.395833492279056
2019-04-16 15:00:00,18.311111111111114,20.888888676961262
2019-04-17 00:00:00,18.077777777777776,23.000000211927627
2019-04-17 09:00:00,20.98888888888889,22.54629633161757
